Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение
2008 Bmw 328 I Sulev,$ 1 250 USD,1,WBAWV13558P118862,39 622 mi(подтвержден),16.05.2024 19:00 UTC,3.0l 6,,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""FRESNO, CALIFORNIA"",$ 0 USD,$ 4 075 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение стороны
2006 Lexus Gx 470,$ 3 750 USD,1,JTJBT20X060103370,185 828 mi(подтвержден),16.05.2024 19:00 UTC,4.7l 8,,Синий,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""RANCHO CUCAMONGA, CALIFORNIA"",$ 19 404 USD,$ 11 575 USD,CA - SALVAGE CERTIFICATE,Материальный ущерб,Механическое повреждение,
2013 Dodge Journey Crew,$ 1 200 USD,1,3C4PDCDG7DT588600,94 111 mi(подтвержден),16.05.2024 19:00 UTC,3.6l 6,4-дверный спорт,Белый,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""LOS ANGELES, CALIFORNIA"",$ 9 110 USD,$ 6 250 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2009 Toyota Camry Base,$ 650 USD,1,4T4BE46K89R076311,131 264 mi(подтвержден),16.05.2024 17:00 UTC,2.4l 4,,Золотой,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""ELGIN, ILLINOIS"",$ 14 737 USD,$ 7 025 USD,IL - JUNKING CERT OF A VEHICLE,Столкновение,Повреждение стороны,Незначительная вмятина/царапины
2018 Ezgo Golfcart,$ 2 300 USD,1,3293146,,16.05.2024 17:00 UTC,,,Черный,Автоматическая,,,Ключи присутствуют,заводится и едет,""OKLAHOMA CITY, OKLAHOMA"",$ 5 166 USD,$ 0 USD,OK - BILL OF SALE,Катастрофа,Незначительная вмятина/царапины,
2015 Ford Focus Se,$ 550 USD,2,1FADP3K24FL384536,102 199 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""GRAND PRAIRIE, TEXAS"",$ 8 515 USD,$ 7 425 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Повреждение стороны
2013 Chrysler 300 S,$ 1 850 USD,1,2C3CCABG0DH612130,199 756 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Белый,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,""SAN ANTONIO, TEXAS"",$ 0 USD,$ 8 375 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
1998 Chevrolet Gmt-400 K2500,$ 425 USD,1,1GCGK29RXWE216360,211 525 mi,16.05.2024 17:00 UTC,5.7l 8,,Белый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 11 256 USD,$ 4 850 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части
2018 Kia Optima Lx,$ 3 600 USD,1,5XXGT4L38JG256504,101 903 mi(подтвержден),16.05.2024 19:00 UTC,2.4l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""RANCHO CUCAMONGA, CALIFORNIA"",$ 0 USD,$ 11 825 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,Повреждение задней части
2010 Honda Cr-v Ex,$ 1 500 USD,1,JHLRE4H51AC002729,323 017 mi,16.05.2024 18:00 UTC,2.4l 4,4-дверный спорт,Синий,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""ALBUQUERQUE, NEW MEXICO"",$ 9 982 USD,$ 8 975 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,Повреждение передней части
2021 Hyundai Palisade Limited,$ 7 400 USD,4,KM8R5DHE1MU212450,69 260 mi(подтвержден),16.05.2024 14:00 UTC,3.8l 6,,Серый,Автоматическая,Бензин,Полный привод,,улучшенные транспортные средства,""EAST GRANBY, CONNECTICUT"",$ 34 733 USD,$ 39 200 USD,CT - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2004 Chevrolet Tahoe K1500,$ 450 USD,1,1GNEK13Z34J243082,,16.05.2024 17:00 UTC,5.3l 8,,Белый,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""EARLINGTON, KENTUCKY"",$ 4 706 USD,$ 4 575 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Повреждение задней части
2017 Gmc Sierra K1500 Slt,$ 8 000 USD,2,3GTU2NEC0HG202694,74 263 mi(подтвержден),16.05.2024 17:00 UTC,5.3l 8,,Темно-бордовый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,,""HOUSTON, TEXAS"",$ 30 510 USD,$ 29 225 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
2014 Ford Escape Titanium,$ 425 USD,1,1FMCU0J97EUB39259,195 324 mi(подтвержден),16.05.2024 17:00 UTC,2.0l 4,,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""EARLINGTON, KENTUCKY"",$ 8 587 USD,$ 9 550 USD,KY - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
1998 Ford F250,$ 650 USD,1,1FTRX27L0WKC35980,283 767 mi,16.05.2024 18:00 UTC,5.4l 8,3-дверный удлиненный,Серый,,Бензин,задний привод,Ключи присутствуют,заводится и едет,""ALBUQUERQUE, NEW MEXICO"",$ 0 USD,$ 4 525 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,
2016 Nissan 370z Base,$ 6 900 USD,1,JN1AZ4EH9GM932817,61 541 mi(подтвержден),16.05.2024 19:00 UTC,3.7l 6,,Красный,Механическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""LAS VEGAS, NEVADA"",$ 22 963 USD,$ 24 875 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,
2022 Toyota Camry Le,$ 13 000 USD,1,4T1C31AK5NU044291,72 456 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Белый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,двигатель запускается,""GRAND PRAIRIE, TEXAS"",$ 21 922 USD,$ 26 675 USD,TX - SALVAGE VEHICLE TITLE,Столкновение,Повреждение задней части,Повреждение стороны
2016 Nissan Versa S,$ 1 750 USD,1,3N1CN7AP4GL808791,130 350 mi(подтвержден),16.05.2024 19:00 UTC,1.6l 4,,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""RENO, NEVADA"",$ 4 451 USD,$ 8 000 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,
2019 Cadillac Escalade Premium Luxury,$ 13 500 USD,1,1GYS4CKJ8KR318462,,16.05.2024 19:00 UTC,6.2l 8,,Черный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,улучшенные транспортные средства,""FRESNO, CALIFORNIA"",$ 49 021 USD,$ 47 150 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Пожар в салоне,Повреждение передней части
2008 Audi A3 S-line 3.2 Quattro,$ 500 USD,1,WAUKD78P88A106190,,16.05.2024 18:00 UTC,3.2l 6,,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,,""NAMPA, IDAHO"",$ 8 340 USD,$ 8 450 USD,ID - SALVAGE CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,
2004 Dodge Neon Sxt,$ 250 USD,1,1B3ES56C84D642612,202 291 mi(подтвержден),16.05.2024 18:00 UTC,2.0l 4,,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""ALBUQUERQUE, NEW MEXICO"",$ 1 622 USD,$ 0 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,
2016 Bmw X6 Xdrive35i,$ 11 300 USD,1,5UXKU2C54G0N80037,84 752 mi(подтвержден),16.05.2024 19:00 UTC,3.0l 6,4-дверный спорт,Угольный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ANTELOPE, CALIFORNIA"",$ 20 451 USD,$ 23 450 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,
2014 Nissan Sentra S,$ 600 USD,1,3N1AB7AP2EY291457,134 580 mi(подтвержден),16.05.2024 19:00 UTC,1.8l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""RANCHO CUCAMONGA, CALIFORNIA"",$ 9 621 USD,$ 6 375 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Конфискат,Повреждение передней части,
2013 Hyundai Veloster,$ 1 450 USD,1,KMHTC6AD2DU117890,85 558 mi(подтвержден),16.05.2024 19:00 UTC,1.6l 4,,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""HAYWARD, CALIFORNIA"",$ 12 948 USD,$ 5 475 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части
2017 Dodge Grand Caravan Gt,$ 975 USD,1,2C4RDGEG8HR815011,128 765 mi(подтвержден),16.05.2024 17:00 UTC,3.6l 6,,Синий,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""ELGIN, ILLINOIS"",$ 9 804 USD,$ 12 000 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Повреждение задней части
2013 Infiniti Fx37,$ 2 050 USD,2,JN8CS1MW6DM173732,94 540 mi,16.05.2024 17:00 UTC,3.7l 6,,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""ELGIN, ILLINOIS"",$ 12 384 USD,$ 15 500 USD,IL - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,Незначительная вмятина/царапины
2016 Chevrolet Malibu Ls,$ 2 350 USD,1,1G1ZB5ST0GF258640,71 330 mi,16.05.2024 18:00 UTC,1.5l 4,,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""ALBUQUERQUE, NEW MEXICO"",$ 13 632 USD,$ 12 975 USD,NM - CERT OF TITLE-SALVAGE,Столкновение,Повреждение стороны,
2017 Toyota Tundra Crewmax Sr5,$ 8 200 USD,1,5TFEW5F1XHX224221,76 880 mi(подтвержден),16.05.2024 19:00 UTC,5.7l 8,,Белый,Автоматическая,Этанолосодержащий бензин,задний привод,Ключи присутствуют,заводится и едет,""RANCHO CUCAMONGA, CALIFORNIA"",$ 17 638 USD,$ 29 050 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,
2011 Toyota Camry Base,$ 825 USD,1,4T4BF3EKXBR151072,109 329 mi(подтвержден),16.05.2024 17:00 UTC,2.5l 4,,Бирюзовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,,""MEMPHIS, TENNESSEE"",$ 10 051 USD,$ 8 525 USD,TN - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,Незначительная вмятина/царапины
