Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Кузов,Цвет,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Второстепенное повреждение,Коробка передач
2018 Nissan Altima 2.5,$ 2 550 USD,1,1N4AL3AP1JC216700,136 190 mi(подтвержден),13.05.2024 14:00 UTC,2.5l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"LUMBERTON, NORTH CAROLINA",$ 6 951 USD,$ 15 400 USD,NC - SALVAGE CERTIFICATE OF TITLE,Неизвестно,Повреждение передней части,,Автоматическая
2023 Kia Telluride Sx,$ 21 800 USD,1,5XYP5DGC1PG323954,2 065 mi(подтвержден),13.05.2024 14:00 UTC,3.8l 6,,Белый,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,"LOGANVILLE, GEORGIA",$ 32 842 USD,$ 51 400 USD,GA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
2014 Mazda Cx-9 Sport,$ 2 000 USD,1,JM3TB2BA1E0440574,150 724 mi(подтвержден),13.05.2024 14:00 UTC,3.7l 6,4-дверный спорт,Синий,Бензин,передний привод,Ключи присутствуют,заводится и едет,"FAIRBURN, GEORGIA",$ 7 480 USD,$ 7 625 USD,GA - CERT OF TITLE-SALVAGE,Столкновение,Повреждение задней части,,Автоматическая
2012 Volkswagen Passat S,$ 1 USD,14,1VWAP7A38CC057547,144 460 mi(подтвержден),13.05.2024 22:00 UTC,2.5l 5,,Серебряный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"KAPOLEI, HAWAII",$ 27 034 USD,$ 7 550 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая
1999 Mercedes-benz E 320,$ 175 USD,9,WDBJF65H8XA760846,,13.05.2024 22:00 UTC,3.2l 6,,Черный,Бензин,задний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 0 USD,$ 0 USD,HI - CERTIFICATE OF TITLE,Пожертвование,Нормальный износ,,Автоматическая
2023 Gmc Acadia Slt,$ 17 600 USD,1,1GKKNML47PZ115432,16 748 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 6 706 USD,$ 34 300 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение задней части,,Автоматическая
2022 Chevrolet Malibu Lt,$ 3 600 USD,1,1G1ZD5STXNF161663,21 316 mi(подтвержден),13.05.2024 22:00 UTC,1.5l 4,,Серебряный,Бензин,передний привод,Ключи присутствуют,двигатель запускается,"KAPOLEI, HAWAII",$ 0 USD,$ 21 675 USD,HI - CERTIFICATE OF SALVAGE (P),Аренда,Повсюду,,Автоматическая
2023 Nissan Altima Sv,$ 1 050 USD,1,1N4BL4DV9PN325147,,13.05.2024 22:00 UTC,2.5l 4,,Красный,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,"KAPOLEI, HAWAII",$ 0 USD,$ 25 950 USD,HI - CERTIFICATE OF SALVAGE (P),Столкновение,Повсюду,,Автоматическая
2021 Nissan Kicks Sv,$ 6 300 USD,1,3N1CP5CV9ML534106,36 578 mi(подтвержден),13.05.2024 22:00 UTC,1.6l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 9 501 USD,$ 19 225 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая
2020 Kia Optima Lx,$ 9 100 USD,1,5XXGT4L37LG393520,57 117 mi(подтвержден),13.05.2024 22:00 UTC,2.4l 4,,Угольный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 4 668 USD,$ 18 800 USD,HI - CERTIFICATE OF TITLE,Вандализм,Вандализм,Вандализм,Автоматическая
2004 Chevrolet Tracker,$ 275 USD,4,2CNBE134346910992,97 318 mi(подтвержден),13.05.2024 22:00 UTC,2.5l 6,,Желтый,Бензин,задний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 0 USD,$ 0 USD,HI - CERTIFICATE OF TITLE,Пожертвование,Нормальный износ,,Автоматическая
2019 Dodge Grand Caravan Gt,$ 9 400 USD,1,2C4RDGEG3KR536220,53 750 mi(подтвержден),13.05.2024 22:00 UTC,3.6l 6,,Белый,Этанолосодержащий бензин,передний привод,Ключи присутствуют,двигатель запускается,"KAPOLEI, HAWAII",$ 7 880 USD,$ 17 425 USD,HI - CERTIFICATE OF TITLE,Неизвестно,Механическое повреждение,,Автоматическая
1999 Mercedes-benz C 230,$ 2 USD,12,WDBHA24G0XA752271,101 373 mi(подтвержден),13.05.2024 22:00 UTC,2.3l 4,,Бордовый,Бензин,задний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 0 USD,$ 4 100 USD,HI - CERTIFICATE OF TITLE,Пожертвование,Нормальный износ,,Автоматическая
2004 Dodge Dakota Sxt,$ 525 USD,1,1D7FL16K14S654084,153 339 mi(подтвержден),13.05.2024 22:00 UTC,3.7l 6,,Белый,Бензин,задний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 0 USD,$ 0 USD,HI - CERTIFICATE OF TITLE,Пожертвование,Нормальный износ,,Автоматическая
2006 Toyota Corolla Matrix Xr,$ 2 USD,2,2T1KR30E86C609749,138 414 mi(подтвержден),13.05.2024 22:00 UTC,1.8l 4,,Белый,Бензин,передний привод,Ключи присутствуют,двигатель запускается,"KAPOLEI, HAWAII",$ 6 487 USD,$ 6 875 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение задней части,,Автоматическая
2010 Hyundai Elantra Blue,$ 2 USD,2,KMHDU4AD2AU943706,65 322 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Синий,Бензин,передний привод,Ключи присутствуют,двигатель запускается,"KAPOLEI, HAWAII",$ 13 041 USD,$ 5 275 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,Повреждение стороны,Автоматическая
2023 Ford Escape St Line,$ 15 200 USD,1,1FMCU0MNXPUA79781,7 151 mi(подтвержден),13.05.2024 22:00 UTC,1.5l 3,,Угольный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 10 380 USD,$ 28 225 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая
2019 Ford Edge Sel,$ 10 100 USD,1,2FMPK3J99KBB81524,54 390 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 8 671 USD,$ 17 775 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,,Автоматическая
2020 Gmc Yukon Xl K1500 Slt,$ 29 750 USD,1,1GKS2GKC4LR192398,43 243 mi(подтвержден),13.05.2024 22:00 UTC,5.3l 8,,Черный,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 16 201 USD,$ 43 925 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение задней части,,Автоматическая
2019 Dodge Grand Caravan Gt,$ 10 100 USD,1,2C4RDGEG1KR765236,44 125 mi(подтвержден),13.05.2024 22:00 UTC,3.6l 6,,Бордовый,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 7 877 USD,$ 17 425 USD,HI - CERTIFICATE OF TITLE,Неизвестно,Механическое повреждение,,Автоматическая
2020 Ford Edge Sel,$ 12 400 USD,1,2FMPK3J99LBA50370,54 759 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 12 134 USD,$ 21 150 USD,HI - CERTIFICATE OF TITLE,Неизвестно,Механическое повреждение,,Автоматическая
2019 Dodge Grand Caravan Gt,$ 8 400 USD,1,2C4RDGEG3KR536315,54 776 mi(подтвержден),13.05.2024 22:00 UTC,3.6l 6,,Серебряный,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 7 902 USD,$ 17 425 USD,HI - CERTIFICATE OF TITLE,Неизвестно,Механическое повреждение,,Автоматическая
2023 Subaru Brz Premium,$ 2 850 USD,1,JF1ZDBC16P8703583,5 799 mi(подтвержден),13.05.2024 22:00 UTC,2.4l 4,,Белый,Бензин,задний привод,Ключи присутствуют,двигатель запускается,"KAPOLEI, HAWAII",$ 27 710 USD,$ 30 275 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая
2021 Nissan Sentra Sv,$ 225 USD,2,3N1AB8CV6MY268974,,13.05.2024 22:00 UTC,2.0l 4,,Синий,Бензин,передний привод,Ключи присутствуют,,"KAPOLEI, HAWAII",$ 18 958 USD,$ 20 050 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,Повреждение задней части,Автоматическая
2014 Ford Escape Titanium,$ 5 200 USD,1,1FMCU9J93EUD32061,55 041 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Синий,Бензин,4х4 с передним приводом,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 10 657 USD,$ 15 375 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение стороны,Повреждение передней части,Автоматическая
2022 Chevrolet Malibu Lt,$ 5 000 USD,1,1G1ZD5STXNF133135,41 532 mi(подтвержден),13.05.2024 22:00 UTC,1.5l 4,,Черный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 17 040 USD,$ 22 275 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение задней части,,Автоматическая
2014 Dodge Durango R/t,$ 3 250 USD,1,1C4SDJCT9EC323431,81 957 mi(подтвержден),13.05.2024 22:00 UTC,5.7l 8,4-дверный спорт,Белый,Бензин,Полный привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 0 USD,$ 17 675 USD,HI - BILL OF SALE - PARTS ONLY,Столкновение,Повреждение задней части,,Автоматическая
2019 Chevrolet Equinox Lt,$ 3 450 USD,2,2GNAXKEV3K6161699,51 918 mi(подтвержден),13.05.2024 22:00 UTC,1.5l 4,,Угольный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 12 922 USD,$ 20 275 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая
2023 Mercedes-benz Glb 250,$ 18 300 USD,1,W1N4M4GB4PW260549,12 021 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 0 USD,$ 39 075 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая
2023 Mercedes-benz Glb 250,$ 18 300 USD,1,W1N4M4GB4PW260549,12 021 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,,Белый,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 0 USD,$ 39 075 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая
2007 Kia Sedona Ex,$ 2 USD,1,KNDMB133876126203,151 025 mi(подтвержден),13.05.2024 22:00 UTC,3.8l 6,спортивная версия,Серебряный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 0 USD,$ 4 375 USD,HI - CERTIFICATE OF TITLE,Столкновение,Повреждение передней части,,Автоматическая
2016 Nissan Nv200 2.5s,$ 2 USD,1,3N6CM0KN7GK694731,93 448 mi(подтвержден),13.05.2024 22:00 UTC,2.0l 4,грузовой фургон,Красный,Бензин,передний привод,Ключи присутствуют,заводится и едет,"KAPOLEI, HAWAII",$ 0 USD,$ 0 USD,HI - CERTIFICATE OF SALVAGE,Столкновение,Повреждение передней части,,Автоматическая
