Марка и модель,Выигрышная ставка,Записей о продаже,VIN,Пробег,Дата аукциона,Двигатель,Цвет,Коробка передач,Топливо,Привод,Ключи,Состояние,Место продажи,Стоимость ремонта,Рыночная стоимость,Документы,Тип повреждения,Основное повреждение,Кузов,Второстепенное повреждение
2013 Nissan Rogue S,$ 775 USD,2,JN8AS5MT4DW517616,151 138 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Бирюзовый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""MARTINEZ, CALIFORNIA"",$ 7 419 USD,$ 7 350 USD,CA - SALVAGE CERTIFICATE,Вандализм,Вандализм,,
2013 Ford Escape Se,$ 1 600 USD,1,1FMCU0GX3DUD10609,276 138 mi(подтвержден),15.05.2024 19:00 UTC,1.6l 4,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 0 USD,$ 7 150 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение стороны,,
2007 Suzuki Grand Vitara Luxury,$ 1 400 USD,1,JS3TE947574202086,126 107 mi(подтвержден),15.05.2024 19:00 UTC,2.7l 6,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 5 712 USD,$ 3 825 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,
2015 Volvo V60 Premier,$ 1 100 USD,1,YV140MEK2F1262683,128 430 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 9 031 USD,$ 11 775 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение передней части,,
2006 Jeep Liberty Sport,$ 225 USD,1,1J4GL48K36W184482,228 743 mi(подтвержден),15.05.2024 19:00 UTC,3.7l 6,Белый,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 0 USD,$ 4 925 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение стороны,,
2007 Honda Odyssey Exl,$ 550 USD,2,5FNRL38707B050801,204 447 mi,15.05.2024 19:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 7 427 USD,$ 5 275 USD,OR - LIEN PAPERS SALVAGE,Столкновение,Повреждение передней части,,
2016 Subaru Wrx,$ 5 600 USD,1,JF1VA1B68G9829484,79 148 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Белый,Механическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 12 387 USD,$ 15 300 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2014 Nissan Versa Note S,$ 600 USD,1,3N1CE2CP4EL382193,154 960 mi(подтвержден),15.05.2024 19:00 UTC,1.6l 4,Черный,Механическая,Бензин,передний привод,,,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 5 400 USD,NV - CERTIFICATE OF TITLE,Пожертвование,Незначительная вмятина/царапины,,
2006 Ford Focus Zx4,$ 225 USD,1,1FAFP34N46W104158,161 971 mi,15.05.2024 19:00 UTC,2.0l 4,Бордовый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 3 078 USD,$ 0 USD,OR - LIEN PAPERS SALVAGE,Столкновение,Повреждение стороны,,
2018 Nissan Kicks S,$ 4 000 USD,1,3N1CP5CU7JL517047,69 444 mi(подтвержден),15.05.2024 19:00 UTC,1.6l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 16 693 USD,$ 12 300 USD,AZ - CERT OF TITLE - SALVAGE,Неизвестно,Повреждение стороны,,
2020 Dodge Journey Se,$ 350 USD,1,3C4PDCAB2LT262579,48 258 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Белый,Автоматическая,Бензин,передний привод,,,""NORTH LAS VEGAS, NEVADA"",$ 33 922 USD,$ 17 725 USD,NV - NON-REPAIRABLE VEHICLE CERT,Столкновение,Повсюду,,
2013 Volkswagen Passat Se,$ 2 350 USD,1,1VWBP7A34DC079020,143 545 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 5,Синий,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 500 USD,$ 7 150 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение ходовой части,,Незначительная вмятина/царапины
2013 Toyota Rav4 Limited,$ 4 150 USD,1,2T3DFREV2DW056032,194 271 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Красный,,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 18 603 USD,$ 12 925 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,4-дверный спорт,
2023 Kia Forte Gt Line,$ 7 500 USD,1,3KPF54AD8PE622870,2 137 mi(подтвержден),15.05.2024 19:00 UTC,2 L 4,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 0 USD,$ 29 175 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2023 Chrysler Pacifica Touring L,$ 20 700 USD,1,2C4RC1BG5PR525425,43 138 mi(подтвержден),15.05.2024 16:00 UTC,3.6l 6,Белый,Автоматическая,Этанолосодержащий бензин,передний привод,Ключи присутствуют,заводится и едет,""COLUMBIA STATION, OHIO"",$ 0 USD,$ 35 325 USD,OH - CERTIFICATE OF TITLE (P),Аренда,Град,,
2016 Bmw 328 Xi Sulev,$ 5 200 USD,1,WBA8E3G59GNT80585,92 037 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, UTAH"",$ 11 690 USD,$ 16 925 USD,UT - SALVAGE CERTIFICATE,Неизвестно,Повреждение передней части,,
2007 Honda Accord Se,$ 1 950 USD,1,1HGCM66477A060734,194 350 mi(подтвержден),15.05.2024 19:00 UTC,3.0l 6,Серый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 5 224 USD,$ 7 550 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение задней части,,
2017 Jeep Wrangler Rubicon,$ 14 900 USD,1,1C4BJWCG9HL637836,55 641 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,Синий,Автоматическая,Этанолосодержащий бензин,4х4 с задним приводом,Ключи присутствуют,заводится и едет,""PHOENIX, ARIZONA"",$ 15 342 USD,$ 25 400 USD,AZ - CERT OF TITLE - SALVAGE,Столкновение,Повреждение передней части,,
2014 Honda Accord Exl,$ 1 700 USD,1,1HGCR2F86EA269800,172 305 mi(подтвержден),15.05.2024 19:00 UTC,2.4l 4,Черный,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 9 362 USD,$ 12 325 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение задней части,,Повреждение стороны
2013 Chevrolet Camaro Lt,$ 900 USD,1,2G1FB1E38D9184203,141 197 mi(подтвержден),15.05.2024 19:00 UTC,3.6l 6,Серый,Автоматическая,Бензин,задний привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 26 106 USD,$ 9 725 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2020 Toyota Prius Prime Le,$ 6 300 USD,1,JTDKARFP8L3125541,100 421 mi(подтвержден),15.05.2024 19:00 UTC,1.8l 4,Серый,Автоматическая,Гибрид,передний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, CALIFORNIA"",$ 21 111 USD,$ 25 600 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Незначительная вмятина/царапины
2015 Acura Rlx Tech,$ 3 000 USD,1,JH4KC1F50FC001132,73 827 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,Белый,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""NORTH LAS VEGAS, NEVADA"",$ 16 011 USD,$ 16 200 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2021 Kia Seltos Ex,$ 2 450 USD,1,KNDERCAA4M7165776,76 642 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 17 666 USD,$ 22 625 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,
2015 Subaru Outback 2.5i Premium,$ 5 600 USD,1,4S4BSBEC1F3234572,76 701 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 4,Серебряный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 12 803 USD,$ 16 025 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение передней части,,
2012 Lexus Is 250,$ 1 150 USD,1,JTHBF5C29C5164452,122 961 mi(подтвержден),15.05.2024 19:00 UTC,2.5l 6,Серебряный,Автоматическая,Бензин,задний привод,Ключи присутствуют,улучшенные транспортные средства,""NORTH LAS VEGAS, NEVADA"",$ 13 121 USD,$ 10 800 USD,NV - SALVAGE TITLE,Столкновение,Повреждение передней части,,
2023 Honda Ridgeline Rtl-e,$ 20 000 USD,1,5FPYK3F76PB005290,16 806 mi(подтвержден),15.05.2024 19:00 UTC,3.5l 6,Черный,Автоматическая,Бензин,Полный привод,Ключи присутствуют,заводится и едет,""MARTINEZ, CALIFORNIA"",$ 7 074 USD,$ 41 250 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Незначительная вмятина/царапины,,
1996 Chrysler Town & Country,$ 300 USD,1,1C4GP54L2TB254751,130 036 mi(подтвержден),15.05.2024 19:00 UTC,3.8l 6,Золотой,Автоматическая,Бензин,передний привод,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 4 226 USD,$ 0 USD,OR - SALVAGE TITLE CERTIFICATE,Столкновение,Повреждение задней части,,
1984 Chevrolet C30,$ 525 USD,2,1GBHG34WXEV109090,31 184 mi,15.05.2024 19:00 UTC,,Двухцветный,Автоматическая,,,Ключи присутствуют,заводится и едет,""PORTLAND, OREGON"",$ 5 021 USD,$ 0 USD,OR - LIEN PAPERS SALVAGE,Столкновение,Повреждение передней части,,
2007 Jeep Liberty Sport,$ 400 USD,1,1J4GL48K67W654053,233 585 mi,15.05.2024 19:00 UTC,3.7l 6,Серебряный,Автоматическая,Бензин,4х4 с задним приводом,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 0 USD,$ 5 438 USD,CA - CERT OF TITLE OR SALVAGE ACQ,Публичный коносамент,Повреждение ходовой части,,Повреждение передней части
2021 Toyota Supra,$ 21 800 USD,1,WZ1DB2C03MW044078,35 145 mi(подтвержден),15.05.2024 17:00 UTC,2.0l 4,Белый,Автоматическая,Бензин,задний привод,Ключи присутствуют,заводится и едет,""NEW ORLEANS, LOUISIANA"",$ 37 279 USD,$ 41 300 USD,LA - CERT OF TITLE-SALVAGE,Неизвестно,Верх/крыша,,Повреждение передней части
2014 Hyundai Sonata Gls,$ 1 650 USD,1,5NPEB4AC2EH921517,,15.05.2024 19:00 UTC,2.4l 4,Белый,Автоматическая,Бензин,передний привод,,улучшенные транспортные средства,""NORTH LAS VEGAS, ARIZONA"",$ 500 USD,$ 7 050 USD,AZ - CERT OF TITLE - SALVAGE,Кража,Вандализм,4-дверный седан,
2021 Toyota Corolla Se,$ 4 500 USD,1,5YFS4MCE0MP073392,51 470 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Серебряный,Автоматическая,Бензин,передний привод,Ключи присутствуют,двигатель запускается,""SUN VALLEY, CALIFORNIA"",$ 20 682 USD,$ 22 000 USD,CA - SALVAGE CERTIFICATE,Столкновение,Повреждение передней части,,Механическое повреждение
2014 Volkswagen Passat Sel,$ 450 USD,1,1VWCN7A3XEC097579,107 288 mi(подтвержден),15.05.2024 19:00 UTC,2.0l 4,Белый,Автоматическая,Дизель,передний привод,,улучшенные транспортные средства,""SUN VALLEY, CALIFORNIA"",$ 13 627 USD,$ 9 325 USD,CA - SALVAGE CERTIFICATE,Неизвестно,Повсюду,,
